customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,InternetService,TechSupport,OnlineSecurity,MonthlyCharges,TotalCharges,Churn
CUST1020,Female,0,Yes,No,27,One year,Credit card,Fiber optic,Yes,No,82.42,2232.81,No
CUST1021,Male,0,Yes,No,26,Month-to-month,Credit card,Fiber optic,No,No,42.72,1079.99,No
CUST1022,Female,1,No,No,50,One year,Electronic check,Fiber optic,No,No,46.32,2346.29,Yes
CUST1023,Female,1,Yes,No,63,Two year,Credit card,No,Yes,No,109.62,6943.56,No
CUST1024,Female,1,Yes,No,51,Month-to-month,Mailed check,DSL,Yes,No,65.65,3367.88,No
CUST1025,Female,0,Yes,No,37,Month-to-month,Mailed check,No,No,Yes,58.0,2129.82,No
CUST1026,Female,1,No,Yes,64,One year,Bank transfer,DSL,No,No,91.83,5899.15,Yes
CUST1027,Female,1,No,Yes,17,Month-to-month,Mailed check,Fiber optic,No,Yes,110.78,1875.49,Yes
CUST1028,Female,0,No,No,62,Month-to-month,Credit card,No,No,Yes,20.55,1272.84,No
CUST1029,Female,0,No,Yes,50,Month-to-month,Electronic check,DSL,No,No,63.72,3146.73,Yes
CUST1030,Male,0,Yes,No,8,Month-to-month,Bank transfer,Fiber optic,No,No,80.3,569.23,Yes
CUST1031,Male,0,Yes,No,12,Month-to-month,Electronic check,DSL,No,Yes,50.49,634.04,No
CUST1032,Female,0,No,No,39,Month-to-month,Bank transfer,Fiber optic,No,Yes,96.79,3805.13,Yes
CUST1033,Female,0,Yes,No,54,One year,Bank transfer,DSL,No,No,117.09,6387.69,No
CUST1034,Female,0,Yes,Yes,42,Month-to-month,Electronic check,Fiber optic,Yes,Yes,114.23,4800.09,Yes
CUST1035,Male,0,Yes,No,43,Month-to-month,Mailed check,Fiber optic,No,No,45.13,1929.8,Yes
CUST1036,Female,0,Yes,No,67,Two year,Mailed check,No,No,No,41.09,2682.54,No
CUST1037,Male,0,No,No,32,One year,Mailed check,No,No,No,115.66,3699.14,No
CUST1038,Male,0,Yes,No,23,Two year,Mailed check,DSL,Yes,Yes,64.78,1507.95,No
CUST1039,Male,0,No,No,35,Month-to-month,Electronic check,Fiber optic,No,Yes,39.25,1282.76,No
CUST1040,Male,0,Yes,No,9,One year,Credit card,DSL,Yes,No,90.11,864.44,No
CUST1041,Male,0,No,No,19,Month-to-month,Bank transfer,DSL,No,No,47.01,857.59,No
CUST1042,Female,0,Yes,Yes,11,Month-to-month,Electronic check,DSL,Yes,Yes,45.26,488.05,No
CUST1043,Female,0,Yes,No,61,Month-to-month,Mailed check,No,No,Yes,107.68,6598.37,No
CUST1044,Female,1,No,No,17,Month-to-month,Mailed check,No,Yes,Yes,34.57,587.32,No
CUST1045,Female,0,No,No,62,Two year,Electronic check,DSL,No,No,24.57,1593.51,No
CUST1046,Female,0,Yes,No,24,Month-to-month,Bank transfer,DSL,Yes,No,45.46,1122.48,No
CUST1047,Male,0,Yes,No,11,One year,Electronic check,DSL,No,No,79.91,871.59,Yes
CUST1048,Female,1,Yes,No,20,One year,Electronic check,Fiber optic,Yes,No,30.55,454.99,No
CUST1049,Female,0,Yes,No,24,One year,Credit card,Fiber optic,Yes,No,66.1,1636.21,Yes
CUST1050,Male,1,Yes,Yes,10,Month-to-month,Electronic check,DSL,No,No,81.99,760.92,Yes
CUST1051,Female,0,No,No,63,One year,Credit card,Fiber optic,No,Yes,104.57,6630.5,No
CUST1052,Male,1,Yes,Yes,72,Month-to-month,Bank transfer,DSL,Yes,Yes,41.45,3008.91,No
CUST1053,Female,0,Yes,Yes,49,Month-to-month,Electronic check,No,Yes,Yes,101.37,4957.19,Yes
CUST1054,Male,1,No,No,61,Two year,Electronic check,Fiber optic,Yes,No,41.96,2607.22,No
CUST1055,Female,0,No,No,48,Month-to-month,Mailed check,Fiber optic,No,No,87.03,4203.49,No
CUST1056,Female,0,No,No,13,Month-to-month,Electronic check,Fiber optic,No,No,61.93,821.51,Yes
CUST1057,Male,0,Yes,Yes,0,Two year,Mailed check,No,No,Yes,29.7,0.0,Yes
CUST1058,Male,0,Yes,No,24,Month-to-month,Mailed check,DSL,Yes,Yes,90.85,2182.39,No
CUST1059,Male,0,No,No,58,One year,Mailed check,DSL,No,No,40.21,2270.04,Yes
CUST1060,Male,1,Yes,No,71,Month-to-month,Bank transfer,No,Yes,No,36.02,2502.62,No
CUST1061,Male,1,Yes,No,68,Month-to-month,Credit card,DSL,Yes,Yes,54.55,3691.34,No
CUST1062,Male,0,No,No,4,Month-to-month,Mailed check,DSL,No,Yes,84.64,411.73,Yes
CUST1063,Male,0,No,No,18,Month-to-month,Electronic check,Fiber optic,No,No,41.87,771.93,Yes
CUST1064,Male,0,No,No,22,Month-to-month,Electronic check,No,Yes,No,36.73,829.62,No
CUST1065,Female,0,Yes,Yes,8,One year,Mailed check,Fiber optic,No,No,19.02,190.68,No
CUST1066,Female,0,Yes,No,49,Month-to-month,Mailed check,No,No,Yes,66.11,3195.66,No
CUST1067,Male,0,No,No,15,Two year,Electronic check,Fiber optic,No,No,61.72,846.98,No
CUST1068,Female,0,Yes,No,32,Month-to-month,Mailed check,DSL,No,No,41.85,1251.5,Yes
CUST1069,Female,0,No,Yes,1,Month-to-month,Credit card,Fiber optic,No,No,23.47,35.02,Yes
CUST1070,Female,0,No,No,13,One year,Credit card,Fiber optic,No,No,61.78,852.47,Yes
CUST1071,Female,0,No,No,0,Two year,Bank transfer,DSL,No,No,98.4,45.64,No
CUST1072,Male,0,Yes,No,57,Month-to-month,Mailed check,DSL,No,No,90.96,5143.17,No
CUST1073,Female,0,Yes,Yes,15,One year,Bank transfer,DSL,Yes,No,105.8,1654.77,No
CUST1074,Male,1,No,No,46,Two year,Bank transfer,Fiber optic,No,No,18.98,975.23,No
CUST1075,Female,0,No,No,43,Month-to-month,Bank transfer,No,Yes,No,116.57,5042.89,Yes
CUST1076,Female,0,No,No,13,Two year,Mailed check,Fiber optic,Yes,No,52.82,761.02,No
CUST1077,Female,0,Yes,Yes,23,Month-to-month,Bank transfer,No,No,Yes,119.02,2781.12,Yes
CUST1078,Male,0,Yes,No,54,One year,Credit card,DSL,Yes,No,43.77,2352.09,No
CUST1079,Female,1,No,No,14,Two year,Bank transfer,No,No,No,66.1,892.17,No
CUST1080,Male,0,No,Yes,71,One year,Credit card,No,No,No,54.1,3760.45,Yes
CUST1081,Female,0,No,Yes,33,Month-to-month,Credit card,DSL,No,Yes,54.29,1769.33,No
CUST1082,Male,0,Yes,No,1,Month-to-month,Mailed check,No,Yes,No,103.91,92.07,No
CUST1083,Female,1,No,Yes,26,Two year,Bank transfer,DSL,Yes,Yes,94.13,2436.64,No
CUST1084,Male,1,No,Yes,71,Month-to-month,Mailed check,No,No,No,119.2,8457.57,No
CUST1085,Male,0,No,No,22,Month-to-month,Credit card,No,No,Yes,80.58,1658.08,Yes
CUST1086,Female,0,Yes,No,67,One year,Electronic check,Fiber optic,Yes,No,65.25,4410.7,No
CUST1087,Male,0,Yes,Yes,13,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,27.19,398.22,Yes
CUST1088,Female,1,No,No,62,Month-to-month,Mailed check,DSL,No,No,119.65,7436.85,No
CUST1089,Female,0,Yes,Yes,64,Month-to-month,Electronic check,Fiber optic,Yes,No,74.26,4694.17,No
CUST1090,Female,1,Yes,Yes,67,Month-to-month,Bank transfer,Fiber optic,No,No,89.45,6011.5,No
CUST1091,Female,0,No,Yes,62,One year,Bank transfer,No,No,Yes,59.49,3689.51,Yes
CUST1092,Female,0,Yes,No,63,One year,Mailed check,Fiber optic,No,No,73.87,4677.53,Yes
CUST1093,Female,0,No,Yes,31,Month-to-month,Electronic check,No,No,Yes,114.14,3615.9,Yes
CUST1094,Female,0,Yes,Yes,12,Two year,Mailed check,DSL,No,No,34.97,410.72,No
CUST1095,Female,0,No,No,65,Two year,Bank transfer,No,No,No,47.82,3117.38,No
CUST1096,Female,0,No,No,18,One year,Bank transfer,No,No,Yes,33.51,559.96,Yes
CUST1097,Female,0,Yes,Yes,23,Month-to-month,Credit card,Fiber optic,No,No,98.81,2318.71,Yes
CUST1098,Female,0,Yes,No,10,One year,Bank transfer,DSL,No,Yes,24.33,278.44,No
CUST1099,Male,0,Yes,Yes,58,Month-to-month,Bank transfer,DSL,No,No,26.33,1537.97,No
CUST1100,Male,0,Yes,No,14,One year,Electronic check,DSL,Yes,No,48.45,625.64,Yes
CUST1101,Female,1,No,No,9,One year,Electronic check,Fiber optic,No,No,70.45,599.88,Yes
CUST1102,Female,1,No,No,40,Month-to-month,Credit card,Fiber optic,No,No,59.44,2286.04,No
CUST1103,Female,1,Yes,No,26,Two year,Credit card,No,No,No,22.57,552.06,No
CUST1104,Female,1,Yes,No,59,Month-to-month,Credit card,Fiber optic,No,Yes,115.66,6859.41,Yes
CUST1105,Female,0,Yes,Yes,72,One year,Mailed check,DSL,No,No,115.19,8313.47,Yes
CUST1106,Female,0,No,No,51,Month-to-month,Mailed check,Fiber optic,No,No,46.49,2378.97,No
CUST1107,Female,0,Yes,Yes,27,Two year,Credit card,No,No,No,92.62,2574.95,Yes
CUST1108,Female,0,No,No,64,Month-to-month,Mailed check,No,Yes,No,77.01,4943.87,No
CUST1109,Male,0,No,No,16,Month-to-month,Bank transfer,No,No,Yes,42.22,646.66,Yes
CUST1110,Female,0,No,No,43,Month-to-month,Credit card,Fiber optic,No,Yes,44.74,1888.82,No
CUST1111,Male,0,Yes,No,9,Month-to-month,Credit card,Fiber optic,No,Yes,68.1,601.31,Yes
CUST1112,Female,0,No,No,62,Month-to-month,Mailed check,No,No,Yes,60.76,3744.61,No
CUST1113,Female,0,Yes,No,46,One year,Electronic check,Fiber optic,No,Yes,47.71,2242.31,Yes
CUST1114,Male,0,Yes,Yes,37,Month-to-month,Credit card,DSL,No,No,100.37,3734.76,No
CUST1115,Female,0,No,No,69,Month-to-month,Mailed check,DSL,No,No,67.11,4614.61,Yes
CUST1116,Male,0,No,No,52,Month-to-month,Mailed check,DSL,Yes,Yes,84.79,4395.0,No
CUST1117,Female,1,Yes,No,43,Two year,Electronic check,Fiber optic,Yes,No,37.31,1639.49,Yes
CUST1118,Female,0,Yes,No,53,One year,Credit card,DSL,No,Yes,72.42,3888.81,No
CUST1119,Male,0,Yes,Yes,19,One year,Electronic check,DSL,No,No,50.43,866.0,No
CUST1120,Female,1,Yes,No,30,One year,Bank transfer,DSL,Yes,No,71.69,2142.14,No
CUST1121,Male,1,Yes,No,6,Month-to-month,Electronic check,Fiber optic,Yes,No,97.64,590.41,Yes
CUST1122,Female,1,Yes,Yes,57,Month-to-month,Electronic check,Fiber optic,No,No,96.43,5523.92,Yes
CUST1123,Male,0,Yes,No,9,Month-to-month,Mailed check,Fiber optic,No,Yes,54.13,492.82,Yes
CUST1124,Male,0,No,No,9,Two year,Electronic check,DSL,No,No,88.82,819.74,No
CUST1125,Female,0,No,No,38,Two year,Bank transfer,DSL,No,No,114.01,4320.53,No
CUST1126,Female,0,No,No,27,Month-to-month,Mailed check,Fiber optic,No,No,81.82,2168.85,Yes
CUST1127,Male,0,Yes,Yes,29,Month-to-month,Bank transfer,DSL,No,Yes,33.14,1000.27,Yes
CUST1128,Female,0,No,No,36,Month-to-month,Electronic check,DSL,No,No,87.33,3184.68,Yes
CUST1129,Female,0,No,No,66,Month-to-month,Bank transfer,DSL,No,No,28.7,1926.79,Yes
CUST1130,Female,0,No,No,42,One year,Bank transfer,No,Yes,No,106.96,4533.81,Yes
CUST1131,Male,0,No,No,51,Month-to-month,Electronic check,Fiber optic,No,Yes,70.7,3557.11,Yes
CUST1132,Male,0,No,Yes,55,Two year,Electronic check,DSL,Yes,Yes,57.28,3125.03,No
CUST1133,Male,0,No,Yes,67,Month-to-month,Mailed check,DSL,Yes,No,23.81,1651.26,No
CUST1134,Male,0,Yes,No,8,Two year,Mailed check,No,No,Yes,56.84,472.53,No
CUST1135,Male,0,No,No,22,One year,Credit card,Fiber optic,No,Yes,110.13,2425.67,Yes
CUST1136,Male,1,No,No,62,One year,Mailed check,Fiber optic,No,Yes,20.14,1236.09,No
CUST1137,Male,0,No,Yes,60,One year,Electronic check,Fiber optic,No,Yes,66.41,4047.99,No
CUST1138,Male,0,No,No,39,One year,Bank transfer,Fiber optic,No,Yes,112.98,4317.7,Yes
CUST1139,Male,0,Yes,No,43,One year,Bank transfer,Fiber optic,No,No,58.27,2520.31,Yes
CUST1140,Female,0,Yes,No,23,One year,Mailed check,Fiber optic,Yes,Yes,61.67,1415.08,Yes
CUST1141,Male,0,No,Yes,50,One year,Mailed check,Fiber optic,No,Yes,77.01,3787.87,Yes
CUST1142,Female,0,No,No,57,Two year,Electronic check,DSL,Yes,Yes,65.22,3798.37,No
CUST1143,Female,0,No,No,32,One year,Bank transfer,No,No,No,35.2,991.87,No
CUST1144,Female,0,Yes,No,15,One year,Credit card,Fiber optic,Yes,No,19.89,304.41,No
CUST1145,Male,1,Yes,No,21,Two year,Credit card,DSL,No,No,80.2,1710.62,No
CUST1146,Male,0,No,No,56,Month-to-month,Mailed check,No,No,Yes,111.92,6218.77,Yes
CUST1147,Male,0,No,No,61,Month-to-month,Credit card,No,No,No,28.85,1773.71,No
CUST1148,Male,1,No,No,70,Month-to-month,Electronic check,No,No,No,39.52,2755.18,Yes
CUST1149,Female,1,Yes,Yes,71,Month-to-month,Credit card,No,No,Yes,55.76,4008.36,No
CUST1150,Male,0,No,No,69,Two year,Mailed check,No,No,No,100.49,7109.49,No
CUST1151,Male,0,Yes,Yes,29,Month-to-month,Electronic check,DSL,No,No,45.46,1335.27,Yes
CUST1152,Male,0,No,No,22,One year,Bank transfer,No,No,No,107.97,2405.54,No
CUST1153,Male,0,Yes,No,31,Month-to-month,Electronic check,No,Yes,No,23.61,683.15,Yes
CUST1154,Male,0,Yes,No,56,Month-to-month,Mailed check,DSL,Yes,No,113.98,6393.62,No
CUST1155,Female,0,No,No,8,One year,Mailed check,DSL,Yes,Yes,75.2,582.95,Yes
CUST1156,Male,0,No,Yes,30,Two year,Credit card,No,Yes,No,85.2,2594.94,No
CUST1157,Female,1,Yes,No,70,Month-to-month,Credit card,DSL,No,Yes,55.5,3813.7,No
CUST1158,Male,1,No,No,8,One year,Bank transfer,No,Yes,No,97.76,728.4,Yes
CUST1159,Female,0,Yes,Yes,12,One year,Bank transfer,DSL,Yes,Yes,34.99,478.88,No
CUST1160,Male,0,Yes,No,57,Month-to-month,Mailed check,DSL,Yes,No,22.99,1320.93,Yes
CUST1161,Male,0,Yes,Yes,2,Month-to-month,Mailed check,Fiber optic,No,No,58.34,182.87,Yes
CUST1162,Female,0,Yes,No,34,Two year,Mailed check,DSL,No,No,105.08,3590.91,No
CUST1163,Female,0,No,No,20,Month-to-month,Bank transfer,Fiber optic,No,Yes,95.0,1925.49,Yes
CUST1164,Female,0,Yes,Yes,63,Month-to-month,Mailed check,Fiber optic,No,No,70.75,4441.77,No
CUST1165,Male,0,No,No,51,Month-to-month,Bank transfer,DSL,Yes,No,76.36,3884.68,No
CUST1166,Female,0,No,Yes,33,One year,Mailed check,DSL,No,Yes,31.25,1079.47,No
CUST1167,Male,0,Yes,Yes,34,One year,Electronic check,Fiber optic,No,No,103.75,3520.34,No
CUST1168,Male,0,No,Yes,14,One year,Electronic check,DSL,Yes,Yes,98.27,1434.96,No
CUST1169,Female,0,Yes,No,5,Month-to-month,Mailed check,No,No,No,84.96,419.31,Yes
CUST1170,Female,0,No,No,31,Two year,Electronic check,Fiber optic,No,Yes,65.55,1973.07,No
CUST1171,Male,1,Yes,No,51,Month-to-month,Bank transfer,DSL,No,Yes,116.37,5871.33,Yes
CUST1172,Male,0,Yes,Yes,27,Month-to-month,Credit card,Fiber optic,No,No,107.66,2898.23,Yes
CUST1173,Female,0,Yes,Yes,63,Month-to-month,Electronic check,DSL,Yes,No,83.73,5320.78,No
CUST1174,Female,0,Yes,No,18,Month-to-month,Credit card,DSL,Yes,Yes,55.92,973.31,No
CUST1175,Female,0,Yes,No,14,Two year,Electronic check,DSL,Yes,No,81.04,1171.15,Yes
CUST1176,Male,0,No,No,5,Two year,Bank transfer,No,Yes,Yes,76.69,388.49,No
CUST1177,Male,0,No,Yes,72,Month-to-month,Electronic check,No,Yes,Yes,58.21,4221.43,No
CUST1178,Male,0,No,No,37,Two year,Electronic check,No,No,No,49.28,,No
CUST1179,Male,0,No,No,25,One year,Mailed check,DSL,Yes,Yes,59.52,1497.15,No
CUST1180,Male,1,Yes,No,50,Two year,Credit card,DSL,No,No,76.54,3873.94,No
CUST1181,Male,0,Yes,No,72,Month-to-month,Credit card,Fiber optic,No,No,61.67,4439.38,Yes
CUST1182,Female,0,Yes,Yes,52,One year,Bank transfer,Fiber optic,No,No,44.88,2307.52,No
CUST1183,Male,1,Yes,No,55,Month-to-month,Bank transfer,No,No,No,95.62,5168.21,Yes
CUST1184,Male,0,No,No,58,Two year,Credit card,DSL,No,Yes,72.21,4215.26,No
CUST1185,Male,1,No,No,69,Month-to-month,Mailed check,DSL,No,No,24.9,1679.52,No
CUST1186,Female,0,Yes,No,57,One year,Mailed check,Fiber optic,No,No,55.57,3141.46,Yes
CUST1187,Male,0,Yes,No,12,Month-to-month,Credit card,No,No,Yes,108.26,1245.58,No
CUST1188,Male,0,No,No,42,Month-to-month,Electronic check,No,No,No,95.03,3979.76,No
CUST1189,Female,0,No,Yes,50,One year,Credit card,Fiber optic,Yes,No,50.97,2653.38,Yes
CUST1190,Male,0,Yes,No,18,Two year,Electronic check,No,No,No,113.69,2064.02,No
CUST1191,Male,0,No,No,20,One year,Credit card,Fiber optic,No,No,25.81,483.99,Yes
CUST1192,Male,0,No,No,23,Two year,Electronic check,No,No,Yes,116.05,2646.33,No
CUST1193,Male,0,Yes,No,25,Month-to-month,Mailed check,No,Yes,No,43.06,1004.56,No
CUST1194,Male,0,Yes,Yes,44,Month-to-month,Credit card,No,No,No,18.93,776.39,Yes
CUST1195,Female,1,No,No,27,Month-to-month,Bank transfer,DSL,No,No,62.25,1616.27,No
CUST1196,Female,1,No,No,28,Month-to-month,Electronic check,DSL,Yes,Yes,54.61,1542.6,No
CUST1197,Female,1,No,Yes,16,One year,Mailed check,Fiber optic,No,No,72.99,1190.18,Yes
CUST1198,Male,0,Yes,No,67,One year,Bank transfer,Fiber optic,No,No,99.27,6654.97,Yes
CUST1199,Male,0,Yes,Yes,43,One year,Mailed check,No,No,No,103.93,4487.48,No
CUST1200,Male,0,No,No,60,One year,Electronic check,DSL,No,No,58.93,3497.49,No
CUST1201,Female,0,No,No,67,One year,Credit card,DSL,No,No,61.84,4085.87,No
CUST1202,Male,0,Yes,No,24,Month-to-month,Mailed check,Fiber optic,No,No,33.11,736.91,Yes
CUST1203,Male,0,No,No,66,Month-to-month,Credit card,DSL,Yes,No,22.85,1448.15,Yes
CUST1204,Female,0,No,No,1,One year,Credit card,DSL,No,Yes,83.4,101.33,Yes
CUST1205,Male,0,No,No,48,Month-to-month,Mailed check,Fiber optic,No,No,24.57,1280.04,No
CUST1206,Female,0,No,No,69,Month-to-month,Mailed check,Fiber optic,No,No,92.85,6354.29,No
CUST1207,Female,0,No,No,25,Month-to-month,Mailed check,DSL,No,No,72.99,1807.65,No
CUST1208,Female,0,Yes,No,71,One year,Credit card,No,Yes,No,38.26,2726.6,No
CUST1209,Male,1,No,Yes,26,Month-to-month,Bank transfer,Fiber optic,No,No,73.03,1884.83,Yes
CUST1210,Male,0,Yes,No,17,One year,Electronic check,No,No,No,36.67,640.04,No
CUST1211,Male,0,No,Yes,53,One year,Bank transfer,Fiber optic,Yes,Yes,62.75,3296.98,No
CUST1212,Male,0,Yes,No,0,Month-to-month,Credit card,DSL,Yes,Yes,99.56,0.0,Yes
CUST1213,Male,0,No,No,60,One year,Mailed check,DSL,Yes,No,65.12,3898.08,No
CUST1214,Male,0,Yes,No,2,One year,Mailed check,DSL,No,No,33.17,82.67,Yes
CUST1215,Male,0,Yes,No,67,One year,Electronic check,Fiber optic,Yes,No,91.83,6216.73,No
CUST1216,Female,0,Yes,No,40,One year,Electronic check,DSL,Yes,No,37.05,1500.83,No
CUST1217,Male,0,Yes,No,36,Month-to-month,Bank transfer,Fiber optic,No,No,93.33,3347.27,Yes
CUST1218,Female,0,No,Yes,50,One year,Bank transfer,Fiber optic,No,No,66.89,3386.04,No
CUST1219,Male,0,No,Yes,14,Month-to-month,Electronic check,DSL,Yes,No,64.28,949.93,Yes
CUST1220,Male,1,No,Yes,7,Two year,Credit card,DSL,Yes,No,104.85,718.78,No
CUST1221,Male,0,Yes,No,37,Two year,Bank transfer,Fiber optic,Yes,No,90.28,3333.06,No
CUST1222,Female,0,Yes,Yes,55,One year,Mailed check,No,Yes,No,21.36,1153.44,No
CUST1223,Female,1,Yes,No,46,Month-to-month,Mailed check,DSL,Yes,No,48.21,2258.71,Yes
CUST1224,Female,0,Yes,No,9,Month-to-month,Credit card,DSL,No,No,106.83,965.18,Yes
CUST1225,Female,0,No,Yes,48,Month-to-month,Electronic check,No,Yes,No,19.87,883.48,Yes
CUST1226,Male,0,Yes,No,40,Month-to-month,Bank transfer,DSL,No,No,73.62,2965.11,No
CUST1227,Female,0,Yes,No,29,Month-to-month,Mailed check,No,No,No,92.24,2749.44,Yes
CUST1228,Male,1,Yes,Yes,4,Month-to-month,Electronic check,DSL,No,Yes,81.43,404.15,Yes
CUST1229,Male,0,Yes,No,70,Month-to-month,Bank transfer,No,No,No,95.57,6665.94,No
CUST1230,Female,1,No,No,30,Two year,Credit card,DSL,No,No,92.02,2725.77,No
CUST1231,Female,0,No,No,51,Month-to-month,Mailed check,No,No,No,88.59,4612.98,No
CUST1232,Female,0,Yes,No,22,Two year,Credit card,DSL,No,No,101.8,2317.94,Yes
CUST1233,Female,0,Yes,No,47,Two year,Credit card,Fiber optic,Yes,Yes,83.86,3964.79,No
CUST1234,Female,0,Yes,No,39,Month-to-month,Credit card,DSL,Yes,Yes,59.05,2217.34,Yes
CUST1235,Female,0,Yes,Yes,5,One year,Bank transfer,DSL,No,No,66.13,300.33,No
CUST1236,Female,1,Yes,No,37,Month-to-month,Credit card,Fiber optic,No,Yes,91.11,3316.39,Yes
CUST1237,Female,0,No,No,40,One year,Bank transfer,Fiber optic,No,No,107.38,4385.82,Yes
CUST1238,Male,1,No,Yes,26,Month-to-month,Bank transfer,No,No,Yes,45.77,1113.74,No
CUST1239,Female,0,No,No,68,Month-to-month,Credit card,Fiber optic,No,No,52.89,3686.7,Yes
CUST1240,Female,1,Yes,No,56,One year,Credit card,No,No,Yes,112.94,6319.36,No
CUST1241,Male,0,Yes,No,16,Month-to-month,Electronic check,Fiber optic,No,No,77.01,1172.28,Yes
CUST1242,Female,0,No,No,70,One year,Mailed check,No,No,No,36.25,2586.84,No
CUST1243,Male,1,No,No,46,Month-to-month,Electronic check,No,No,Yes,85.7,3973.67,Yes
CUST1244,Male,0,No,No,12,Month-to-month,Mailed check,DSL,No,No,119.06,1365.41,No
CUST1245,Female,0,Yes,No,10,Month-to-month,Mailed check,No,Yes,No,101.99,1018.64,Yes
CUST1246,Male,0,No,No,23,Month-to-month,Electronic check,No,No,No,94.07,2232.39,No
CUST1247,Male,0,Yes,No,72,Month-to-month,Electronic check,DSL,Yes,Yes,39.22,2803.34,No
CUST1248,Male,1,No,No,3,Month-to-month,Mailed check,Fiber optic,Yes,No,107.37,406.1,No
CUST1249,Male,0,No,No,45,Month-to-month,Mailed check,DSL,No,No,71.63,3186.11,No
CUST1250,Female,0,No,No,17,Two year,Mailed check,No,Yes,No,108.71,1766.97,Yes
CUST1251,Male,0,Yes,No,42,Month-to-month,Bank transfer,DSL,No,No,51.64,2171.14,No
CUST1252,Female,0,No,No,32,One year,Mailed check,DSL,Yes,No,24.33,705.53,No
CUST1253,Male,0,Yes,Yes,9,Month-to-month,Credit card,Fiber optic,No,No,66.55,605.19,Yes
CUST1254,Male,0,Yes,No,72,Two year,Credit card,Fiber optic,Yes,No,45.52,3277.7,No
CUST1255,Male,0,Yes,No,58,Month-to-month,Credit card,No,No,Yes,90.95,5237.15,Yes
CUST1256,Male,0,No,Yes,30,Month-to-month,Electronic check,No,Yes,No,115.62,3562.53,Yes
CUST1257,Female,0,Yes,No,27,Month-to-month,Electronic check,Fiber optic,No,No,88.48,2388.76,Yes
CUST1258,Female,0,Yes,No,59,Month-to-month,Electronic check,DSL,No,No,108.47,6442.95,Yes
CUST1259,Male,0,No,No,2,One year,Mailed check,Fiber optic,No,No,64.21,174.86,No
CUST1260,Male,0,Yes,Yes,54,Month-to-month,Credit card,Fiber optic,Yes,No,96.71,5310.39,No
CUST1261,Female,0,No,No,13,Two year,Mailed check,Fiber optic,Yes,Yes,103.99,1291.4,No
CUST1262,Male,0,Yes,No,57,Month-to-month,Bank transfer,DSL,Yes,No,90.51,5071.2,No
CUST1263,Male,0,Yes,Yes,14,Month-to-month,Bank transfer,Fiber optic,No,No,69.79,1063.26,Yes
CUST1264,Male,0,No,No,1,One year,Electronic check,DSL,No,Yes,81.84,110.9,No
CUST1265,Female,0,Yes,No,23,Month-to-month,Bank transfer,Fiber optic,No,No,89.45,2063.67,Yes
CUST1266,Female,0,Yes,Yes,63,Two year,Credit card,Fiber optic,Yes,No,43.81,2753.37,No
CUST1267,Female,0,No,No,70,Month-to-month,Bank transfer,No,No,No,100.58,7025.07,No
CUST1268,Male,0,No,No,23,One year,Electronic check,Fiber optic,No,No,114.93,2686.45,Yes
